"DateTime","Average USD","Active market wallets"
"2017-06-23 00:00:00",53.7,8
"2017-06-24 00:00:00",59.09,17
"2017-06-25 00:00:00",39.81,10
"2017-06-26 00:00:00",30.33,14
"2017-06-27 00:00:00",63.42,22
"2017-06-28 00:00:00",83.15,11
"2017-06-29 00:00:00",57.52,20
"2017-06-30 00:00:00",81.34,13
"2017-07-01 00:00:00",314.08,13
"2017-07-02 00:00:00",94.34,21
"2017-07-03 00:00:00",142.15,24
"2017-07-04 00:00:00",232.86,28
"2017-07-05 00:00:00",102.24,12
"2017-07-06 00:00:00",305.31,15
"2017-07-07 00:00:00",191.42,19
"2017-07-08 00:00:00",107.6,18
"2017-07-09 00:00:00",80.76,16
"2017-07-10 00:00:00",288.83,22
"2017-07-11 00:00:00",132.78,20
"2017-07-12 00:00:00",104.63,17
"2017-07-13 00:00:00",171,24
"2017-07-14 00:00:00",64.06,6
"2017-07-15 00:00:00",109.94,7
"2017-07-16 00:00:00",106.4,4
"2017-07-17 00:00:00",290.44,7
"2017-07-18 00:00:00",97.39,17
"2017-07-19 00:00:00",110.86,12
"2017-07-20 00:00:00",112.03,10
"2017-07-21 00:00:00",101.67,12
"2017-07-22 00:00:00",80.37,13
"2017-07-23 00:00:00",70.28,9
"2017-07-24 00:00:00",75.12,18
"2017-07-25 00:00:00",221.18,12
"2017-07-26 00:00:00",62.9,7
"2017-07-27 00:00:00",55.88,4
"2017-07-28 00:00:00",74.8,8
"2017-07-29 00:00:00",125.85,7
"2017-07-30 00:00:00",92.44,10
"2017-07-31 00:00:00",106.73,4
"2017-08-01 00:00:00",54.5,4
"2017-08-02 00:00:00",525.74,2
"2017-08-03 00:00:00",219.04,16
"2017-08-04 00:00:00",0,0
"2017-08-05 00:00:00",759.47,2
"2017-08-06 00:00:00",0,0
"2017-08-07 00:00:00",76.52,2
"2017-08-08 00:00:00",199.52,8
"2017-08-09 00:00:00",89.12,4
"2017-08-10 00:00:00",90.52,4
"2017-08-11 00:00:00",82.42,10
"2017-08-12 00:00:00",61.09,9
"2017-08-13 00:00:00",115.04,8
"2017-08-14 00:00:00",167.96,6
"2017-08-15 00:00:00",65.22,5
"2017-08-16 00:00:00",105.01,3
"2017-08-17 00:00:00",75.14,2
"2017-08-18 00:00:00",88.83,2
"2017-08-19 00:00:00",118.65,2
"2017-08-20 00:00:00",162.34,2
"2017-08-21 00:00:00",99.08,9
"2017-08-22 00:00:00",87.41,2
"2017-08-23 00:00:00",77.61,4
"2017-08-24 00:00:00",0,0
"2017-08-25 00:00:00",85.55,6
"2017-08-26 00:00:00",98.96,2
"2017-08-27 00:00:00",0,0
"2017-08-28 00:00:00",127.32,10
"2017-08-29 00:00:00",91.7,2
"2017-08-30 00:00:00",87.15,4
"2017-08-31 00:00:00",103.39,2
"2017-09-01 00:00:00",101.22,5
"2017-09-02 00:00:00",23.09,4
"2017-09-03 00:00:00",0,0
"2017-09-04 00:00:00",104.9,4
"2017-09-05 00:00:00",0,0
"2017-09-06 00:00:00",0,0
"2017-09-07 00:00:00",0,0
"2017-09-08 00:00:00",76.12,2
"2017-09-09 00:00:00",0,0
"2017-09-10 00:00:00",67.34,3
"2017-09-11 00:00:00",69.67,4
"2017-09-12 00:00:00",40.68,2
"2017-09-13 00:00:00",0,0
"2017-09-14 00:00:00",0,0
"2017-09-15 00:00:00",0,0
"2017-09-16 00:00:00",70.99,2
"2017-09-17 00:00:00",66.86,3
"2017-09-18 00:00:00",63.35,2
"2017-09-19 00:00:00",94.65,5
"2017-09-20 00:00:00",124.25,5
"2017-09-21 00:00:00",52.14,8
"2017-09-22 00:00:00",71.14,2
"2017-09-23 00:00:00",60.89,4
"2017-09-24 00:00:00",56.14,2
"2017-09-25 00:00:00",0,0
"2017-09-26 00:00:00",0,0
"2017-09-27 00:00:00",105.75,6
"2017-09-28 00:00:00",36.2,2
"2017-09-29 00:00:00",44.91,9
"2017-09-30 00:00:00",16.05,6
"2017-10-01 00:00:00",449.51,2
"2017-10-02 00:00:00",0,0
"2017-10-03 00:00:00",0,0
"2017-10-04 00:00:00",58.61,2
"2017-10-05 00:00:00",0,0
"2017-10-06 00:00:00",0,0
"2017-10-07 00:00:00",0,0
"2017-10-08 00:00:00",93.04,2
"2017-10-09 00:00:00",26.63,2
"2017-10-10 00:00:00",0,0
"2017-10-11 00:00:00",66.71,2
"2017-10-12 00:00:00",39.26,2
"2017-10-13 00:00:00",88.71,8
"2017-10-14 00:00:00",63.71,3
"2017-10-15 00:00:00",59.25,4
"2017-10-16 00:00:00",89.63,3
"2017-10-17 00:00:00",0,0
"2017-10-18 00:00:00",0,0
"2017-10-19 00:00:00",27.76,2
"2017-10-20 00:00:00",96.75,2
"2017-10-21 00:00:00",78.18,2
"2017-10-22 00:00:00",0,0
"2017-10-23 00:00:00",0,0
"2017-10-24 00:00:00",0,0
"2017-10-25 00:00:00",44.77,2
"2017-10-26 00:00:00",38.42,5
"2017-10-27 00:00:00",29.79,3
"2017-10-28 00:00:00",29.65,3
"2017-10-29 00:00:00",21.26,2
"2017-10-30 00:00:00",72.48,6
"2017-10-31 00:00:00",36.93,5
"2017-11-01 00:00:00",27.77,3
"2017-11-02 00:00:00",37.32,4
"2017-11-03 00:00:00",0,0
"2017-11-04 00:00:00",29,4
"2017-11-05 00:00:00",0,0
"2017-11-06 00:00:00",0,0
"2017-11-07 00:00:00",265.71,2
"2017-11-08 00:00:00",0,0
"2017-11-09 00:00:00",74.14,2
"2017-11-10 00:00:00",0,0
"2017-11-11 00:00:00",0,0
"2017-11-12 00:00:00",91.11,2
"2017-11-13 00:00:00",31.53,4
"2017-11-14 00:00:00",67.79,2
"2017-11-15 00:00:00",68.53,4
"2017-11-16 00:00:00",0,0
"2017-11-17 00:00:00",0,0
"2017-11-18 00:00:00",0,0
"2017-11-19 00:00:00",35.34,2
"2017-11-20 00:00:00",36.58,4
"2017-11-21 00:00:00",2.65,29
"2017-11-22 00:00:00",17.56,23
"2017-11-23 00:00:00",2.88,83
"2017-11-24 00:00:00",1.79,145
"2017-11-25 00:00:00",0.97,129
"2017-11-26 00:00:00",1.65,104
"2017-11-27 00:00:00",2.03,115
"2017-11-28 00:00:00",2.91,255
"2017-11-29 00:00:00",5.7,608
"2017-11-30 00:00:00",2.81,760
"2017-12-01 00:00:00",4.58,991
"2017-12-02 00:00:00",21.14,1550
"2017-12-03 00:00:00",39.67,4080
"2017-12-04 00:00:00",68.88,6950
"2017-12-05 00:00:00",56.1,9735
"2017-12-06 00:00:00",58.98,8741
"2017-12-07 00:00:00",46.69,9729
"2017-12-08 00:00:00",47.1,11966
"2017-12-09 00:00:00",35.84,12705
"2017-12-10 00:00:00",26.22,12778
"2017-12-11 00:00:00",23.83,12063
"2017-12-12 00:00:00",21.53,10529
"2017-12-13 00:00:00",20.98,9606
"2017-12-14 00:00:00",19.26,8680
"2017-12-15 00:00:00",19.19,6782
"2017-12-16 00:00:00",21.65,6201
"2017-12-17 00:00:00",21.73,5251
"2017-12-18 00:00:00",17.75,5264
"2017-12-19 00:00:00",18.67,4315
"2017-12-20 00:00:00",16.38,6604
