DateTime,Average USD,Sales USD
2017-06-23 0:00,53.7,1020.3
2017-06-24 0:00,59.09,1240.84
2017-06-25 0:00,39.81,517.55
2017-06-26 0:00,30.33,424.63
2017-06-27 0:00,63.42,2092.91
2017-06-28 0:00,83.15,1247.26
2017-06-29 0:00,57.52,2185.72
2017-06-30 0:00,81.34,1708.15
2017-07-01 0:00,314.08,3140.8
2017-07-02 0:00,94.34,2924.61
2017-07-03 0:00,142.15,7249.8
2017-07-04 0:00,232.86,13505.93
2017-07-05 0:00,102.24,1840.28
2017-07-06 0:00,305.31,7022.18
2017-07-07 0:00,191.42,7082.51
2017-07-08 0:00,107.6,3227.88
2017-07-09 0:00,80.76,969.1
2017-07-10 0:00,288.83,4910.06
2017-07-11 0:00,132.78,5709.37
2017-07-12 0:00,104.63,1778.73
2017-07-13 0:00,171,5300.97
2017-07-14 0:00,64.06,448.4
2017-07-15 0:00,109.94,549.69
2017-07-16 0:00,106.4,319.2
2017-07-17 0:00,290.44,1452.2
2017-07-18 0:00,97.39,2921.67
2017-07-19 0:00,110.86,3436.75
2017-07-20 0:00,112.03,2352.71
2017-07-21 0:00,101.67,2135
2017-07-22 0:00,80.37,1044.77
2017-07-23 0:00,70.28,421.7
2017-07-24 0:00,75.12,1126.82
2017-07-25 0:00,221.18,1769.47
2017-07-26 0:00,62.9,314.52
2017-07-27 0:00,55.88,111.75
2017-07-28 0:00,74.8,374
2017-07-29 0:00,125.85,1006.8
2017-07-30 0:00,92.44,1478.99
2017-07-31 0:00,106.73,213.45
2017-08-01 0:00,54.5,109
2017-08-02 0:00,525.74,525.74
2017-08-03 0:00,219.04,4599.9
2017-08-04 0:00,0,0
2017-08-05 0:00,759.47,1518.93
2017-08-06 0:00,0,0
2017-08-07 0:00,76.52,76.52
2017-08-08 0:00,199.52,997.6
2017-08-09 0:00,89.12,267.36
2017-08-10 0:00,90.52,181.03
2017-08-11 0:00,82.42,659.37
2017-08-12 0:00,61.09,1038.52
2017-08-13 0:00,115.04,805.29
2017-08-14 0:00,167.96,503.88
2017-08-15 0:00,65.22,260.89
2017-08-16 0:00,105.01,210.03
2017-08-17 0:00,75.14,150.29
2017-08-18 0:00,88.83,88.83
2017-08-19 0:00,118.65,118.65
