DateTime,Number of sales,Active market wallets
2017-06-23 0:00,19,8
2017-06-24 0:00,21,17
2017-06-25 0:00,13,10
2017-06-26 0:00,14,14
2017-06-27 0:00,33,22
2017-06-28 0:00,15,11
2017-06-29 0:00,38,20
2017-06-30 0:00,21,13
2017-07-01 0:00,10,13
2017-07-02 0:00,31,21
2017-07-03 0:00,51,24
2017-07-04 0:00,58,28
2017-07-05 0:00,18,12
2017-07-06 0:00,23,15
2017-07-07 0:00,37,19
2017-07-08 0:00,30,18
2017-07-09 0:00,12,16
2017-07-10 0:00,17,22
2017-07-11 0:00,43,20
2017-07-12 0:00,17,17
2017-07-13 0:00,31,24
2017-07-14 0:00,7,6
2017-07-15 0:00,5,7
2017-07-16 0:00,3,4
2017-07-17 0:00,5,7
2017-07-18 0:00,30,17
2017-07-19 0:00,31,12
2017-07-20 0:00,21,10
2017-07-21 0:00,21,12
2017-07-22 0:00,13,13
2017-07-23 0:00,6,9
2017-07-24 0:00,15,18
2017-07-25 0:00,8,12
2017-07-26 0:00,5,7
2017-07-27 0:00,2,4
2017-07-28 0:00,5,8
2017-07-29 0:00,8,7
2017-07-30 0:00,16,10
2017-07-31 0:00,2,4
2017-08-01 0:00,2,4
2017-08-02 0:00,1,2
2017-08-03 0:00,21,16
2017-08-04 0:00,0,0
2017-08-05 0:00,2,2
2017-08-06 0:00,0,0
2017-08-07 0:00,1,2
2017-08-08 0:00,5,8
2017-08-09 0:00,3,4
2017-08-10 0:00,2,4
2017-08-11 0:00,8,10
2017-08-12 0:00,17,9
2017-08-13 0:00,7,8
2017-08-14 0:00,3,6
2017-08-15 0:00,4,5
2017-08-16 0:00,2,3
2017-08-17 0:00,2,2
2017-08-18 0:00,1,2
2017-08-19 0:00,1,2
2017-08-20 0:00,1,2
2017-08-21 0:00,8,9
2017-08-22 0:00,1,2
2017-08-23 0:00,2,4
2017-08-24 0:00,0,0
2017-08-25 0:00,3,6
2017-08-26 0:00,1,2
2017-08-27 0:00,0,0
2017-08-28 0:00,9,10
2017-08-29 0:00,1,2
2017-08-30 0:00,2,4
2017-08-31 0:00,1,2
2017-09-01 0:00,5,5
2017-09-02 0:00,3,4
2017-09-03 0:00,0,0
2017-09-04 0:00,3,4
2017-09-05 0:00,0,0
