DateTime,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers,Number of sales,Sales USD,Average USD,Active market wallets
2017-06-23 0:00,18,1,953.92,66.38,8,2,19,1020.3,53.7,8
2017-06-24 0:00,21,0,1240.84,0,9,10,21,1240.84,59.09,17
2017-06-25 0:00,11,2,402.33,115.22,7,5,13,517.55,39.81,10
2017-06-26 0:00,14,0,424.63,0,6,8,14,424.63,30.33,14
2017-06-27 0:00,32,1,2049.94,42.98,8,15,33,2092.91,63.42,22
2017-06-28 0:00,15,0,1247.26,0,7,5,15,1247.26,83.15,11
2017-06-29 0:00,34,4,1429.27,756.46,13,11,38,2185.72,57.52,20
2017-06-30 0:00,12,9,626.32,1081.83,10,6,21,1708.15,81.34,13
2017-07-01 0:00,6,4,2938.69,202.11,5,8,10,3140.8,314.08,13
2017-07-02 0:00,30,1,2867.38,57.23,12,11,31,2924.61,94.34,21
2017-07-03 0:00,43,8,6659.17,590.63,11,16,51,7249.8,142.15,24
2017-07-04 0:00,51,7,10525.34,2980.59,14,18,58,13505.93,232.86,28
2017-07-05 0:00,16,2,1654.13,186.16,7,7,18,1840.28,102.24,12
2017-07-06 0:00,21,2,6808.2,213.98,9,11,23,7022.18,305.31,15
2017-07-07 0:00,30,7,5993.45,1089.06,6,15,37,7082.51,191.42,19
2017-07-08 0:00,22,8,2255.33,972.55,9,12,30,3227.88,107.6,18
2017-07-09 0:00,11,1,897.48,71.63,8,8,12,969.1,80.76,16
2017-07-10 0:00,14,3,4495.2,414.86,11,11,17,4910.06,288.83,22
2017-07-11 0:00,34,9,5034.25,675.12,9,16,43,5709.37,132.78,20
2017-07-12 0:00,14,3,1534.38,244.35,7,10,17,1778.73,104.63,17
2017-07-13 0:00,25,6,3024.23,2276.74,12,16,31,5300.97,171,24
2017-07-14 0:00,5,2,191.04,257.36,4,3,7,448.4,64.06,6
2017-07-15 0:00,3,2,140.86,408.83,4,3,5,549.69,109.94,7
2017-07-16 0:00,3,0,319.2,0,2,2,3,319.2,106.4,4
2017-07-17 0:00,3,2,651.7,800.5,4,4,5,1452.2,290.44,7
2017-07-18 0:00,29,1,2012.23,909.44,10,8,30,2921.67,97.39,17
2017-07-19 0:00,27,4,2730.2,706.55,8,7,31,3436.75,110.86,12
2017-07-20 0:00,14,7,969.82,1382.89,5,5,21,2352.71,112.03,10
2017-07-21 0:00,21,0,2135,0,4,8,21,2135,101.67,12
2017-07-22 0:00,11,2,947.69,97.08,7,7,13,1044.77,80.37,13
2017-07-23 0:00,5,1,331.01,90.69,6,4,6,421.7,70.28,9
2017-07-24 0:00,13,2,953.63,173.18,9,10,15,1126.82,75.12,18
2017-07-25 0:00,5,3,1125.05,644.42,5,7,8,1769.47,221.18,12
2017-07-26 0:00,4,1,250.41,64.11,4,4,5,314.52,62.9,7
2017-07-27 0:00,2,0,111.75,0,2,2,2,111.75,55.88,4
2017-07-28 0:00,5,0,374,0,4,4,5,374,74.8,8
2017-07-29 0:00,7,1,719.08,287.72,4,3,8,1006.8,125.85,7
2017-07-30 0:00,13,3,591.6,887.4,7,3,16,1478.99,92.44,10
2017-07-31 0:00,1,1,91.48,121.97,2,2,2,213.45,106.73,4
2017-08-01 0:00,2,0,109,0,2,2,2,109,54.5,4
2017-08-02 0:00,1,0,525.74,0,1,1,1,525.74,525.74,2
2017-08-03 0:00,19,2,2576.09,2023.81,9,9,21,4599.9,219.04,16
2017-08-04 0:00,0,0,0,0,0,0,0,0,0,0
2017-08-05 0:00,0,2,0,1518.93,1,1,2,1518.93,759.47,2
2017-08-06 0:00,0,0,0,0,0,0,0,0,0,0
2017-08-07 0:00,1,0,76.52,0,1,1,1,76.52,76.52,2
2017-08-08 0:00,3,2,749.67,247.92,4,4,5,997.6,199.52,8
2017-08-09 0:00,1,2,103.97,163.39,3,1,3,267.36,89.12,4
2017-08-10 0:00,2,0,181.03,0,2,2,2,181.03,90.52,4
2017-08-11 0:00,6,2,416.98,242.39,5,5,8,659.37,82.42,10
2017-08-12 0:00,4,13,291.65,746.87,6,3,17,1038.52,61.09,9
2017-08-13 0:00,3,4,585.39,219.9,4,4,7,805.29,115.04,8
2017-08-14 0:00,2,1,414.96,88.92,3,3,3,503.88,167.96,6
2017-08-15 0:00,2,2,119.55,141.34,2,4,4,260.89,65.22,5
2017-08-16 0:00,2,0,210.03,0,2,1,2,210.03,105.01,3
2017-08-17 0:00,2,0,150.29,0,1,1,2,150.29,75.14,2
2017-08-18 0:00,1,0,88.83,0,1,1,1,88.83,88.83,2
2017-08-19 0:00,0,1,0,118.65,1,1,1,118.65,118.65,2
2017-08-20 0:00,1,0,162.34,0,1,1,1,162.34,162.34,2
